iter	Passed	Remaining
284	13503	5448
285	13564	5406
286	13602	5355
287	13663	5313
288	13726	5272
289	13765	5221
290	13829	5180
291	13869	5129
292	13908	5079
293	13947	5028
294	14012	4987
295	14080	4947
296	14143	4905
297	14207	4863
298	14266	4819
299	14306	4768
300	14346	4718
301	14410	4676
302	14449	4625
303	14515	4583
304	14552	4532
305	14615	4489
306	14654	4439
307	14692	4388
308	14731	4338
309	14793	4294
310	14831	4244
311	14898	4202
312	14937	4151
313	14976	4101
314	15038	4057
315	15095	4012
316	15134	3962
317	15173	3912
318	15245	3871
319	15296	3824
320	15358	3779
321	15419	3735
322	15476	3689
323	15522	3641
324	15595	3598
325	15641	3550
326	15686	3501
327	15752	3457
328	15819	3413
329	15865	3365
330	15935	3321
331	16019	3281
332	16069	3233
333	16139	3189
334	16209	3145
335	16281	3101
336	16323	3051
337	16389	3006
338	16451	2960
339	16522	2915
340	16565	2866
341	16609	2816
342	16678	2771
343	16746	2726
344	16787	2676
345	16850	2629
346	16920	2584
347	16962	2534
348	17041	2490
349	17114	2444
350	17181	2398
351	17243	2351
352	17311	2304
353	17366	2256
354	17440	2210
355	17487	2161
356	17532	2111
357	17600	2064
358	17669	2017
359	17737	1970
360	17780	1920
361	17824	1871
362	17891	1823
363	17957	1775
364	18024	1728
365	18091	1680
366	18159	1632
367	18202	1582
368	18245	1532
369	18311	1484
370	18376	1436
371	18437	1387
372	18501	1339
373	18565	1290
374	18628	1241
375	18667	1191
376	18706	1141
377	18745	1091
378	18784	1040
379	18847	991
380	18886	941
381	18925	891
382	18996	843
383	19064	794
384	19132	745
385	19192	696
386	19230	645
387	19292	596
388	19332	546
389	19372	496
390	19411	446
391	19450	396
392	19491	347
393	19531	297
394	19570	247
395	19632	198
396	19697	148
397	19758	99
398	19821	49
399	19885	0
