iter	RMSE
353	548.1476385
354	548.0783239
355	547.9685006
356	547.8293836
357	547.7179674
358	547.6942193
359	547.6144953
360	547.5247265
361	547.5048587
362	547.4323045
363	547.3440803
364	547.3303082
365	547.2630034
366	547.1927478
367	547.0866184
368	547.0712682
369	546.9685552
370	546.8828411
371	546.799204
372	546.7316508
373	546.6468186
374	546.6299361
375	546.5305183
376	546.4194385
377	546.2414849
378	546.1611988
379	546.1468462
380	546.0538415
381	545.973431
382	545.9187995
383	545.861757
384	545.813517
385	545.7224596
386	545.634547
387	545.5212413
388	545.3980891
389	545.185999
390	545.078394
391	544.9767104
392	544.9535865
393	544.8351927
394	544.7522111
395	544.6445017
396	544.5871028
397	544.5157769
398	544.5002043
399	544.4437073
